,Function,Neuron,Weight,Neurotransmitter
0,mechanosensory,ADEL,1,Dopamine
1,mechanosensory,ADER,1,Dopamine
2,chemosensory,ADFL,1,Serotonin
3,chemosensory,ADFR,1,Serotonin
4,chemosensory|odorsensory|nociceptive,ADLL,1,FMRFamide
5,chemosensory|odorsensory|nociceptive,ADLR,1,FMRFamide
6,thermosensory,AFDL,1,Glutamate
7,thermosensory,AFDR,1,Glutamate
8,mechanosensory,ALML,1,Glutamate
9,mechanosensory,ALMR,1,Glutamate
10,mechanosensory,ALNL,1,Acetylcholine
11,mechanosensory,ALNR,1,Acetylcholine
12,oxygen_sensor,AQR,1,Glutamate
13,chemosensory,ASEL,1,FMRFamide
14,chemosensory,ASER,1,FMRFamide
15,chemosensory,ASGL,1,Glutamate
16,chemosensory,ASGR,1,Glutamate
17,osmosensory|mechanosensory|odorsensory|nociceptive,ASHL,1,Glutamate
18,osmosensory|mechanosensory|odorsensory|nociceptive,ASHR,1,Glutamate
19,chemosensory,ASIL,1,Glutamate
20,chemosensory,ASIR,1,Glutamate
21,nan,ASJL,1,Glutamate
22,nan,ASJR,1,Glutamate
23,chemosensory,ASKL,1,Glutamate
24,chemosensory,ASKR,1,Glutamate
25,nan,AVG,1,Glutamate
26,mechanosensory,AVM,1,Glutamate
27,odorsensory,AWAL,1,Serotonin
28,odorsensory,AWAR,1,Serotonin
29,odorsensory,AWBL,1,Glutamate
30,odorsensory,AWBR,1,Glutamate
31,odorsensory,AWCL,1,Glutamate
32,odorsensory,AWCR,1,Glutamate
33,nan,BAGL,1,Glutamate
34,nan,BAGR,1,Glutamate
35,putative_mechanosensory,CEPDL,1,Dopamine
36,putative_mechanosensory,CEPDR,1,Dopamine
37,putative_mechanosensory,CEPVL,1,Dopamine
38,putative_mechanosensory,CEPVR,1,Dopamine
39,mechanosensory,FLPL,1,Glutamate
40,mechanosensory,FLPR,1,Glutamate
41,mechanosensory,IL1DL,1,Glutamate
42,mechanosensory,IL1DR,1,Glutamate
43,mechanosensory,IL1L,1,Glutamate
44,mechanosensory,IL1R,1,Glutamate
45,mechanosensory,IL1VL,1,Glutamate
46,mechanosensory,IL1VR,1,Glutamate
47,chemosensory,IL2DL,1,Serotonin
48,chemosensory,IL2DR,1,Serotonin
49,chemosensory,IL2L,1,Serotonin
50,chemosensory,IL2R,1,Serotonin
51,chemosensory,IL2VL,1,Serotonin
52,chemosensory,IL2VR,1,Serotonin
53,putative_mechanosensory,OLLL,1,Tyramine
54,putative_mechanosensory,OLLR,1,Tyramine
55,mechanosensory,OLQDL,1,Glutamate
56,mechanosensory,OLQDR,1,Glutamate
57,mechanosensory,OLQVL,1,Glutamate
58,mechanosensory,OLQVR,1,Glutamate
59,mechanosensory,PDEL,1,Dopamine
60,mechanosensory,PDER,1,Dopamine
61,chemosensory,PHAL,1,Glutamate
62,chemosensory,PHAR,1,Glutamate
63,chemosensory,PHBL,1,Serotonin
64,chemosensory,PHBR,1,Serotonin
65,mechanosensory,PHCL,1,Dopamine
66,mechanosensory,PHCR,1,Dopamine
67,mechanosensory,PLML,1,Glutamate
68,mechanosensory,PLMR,1,Glutamate
69,nan,PLNL,1,Acetylcholine
70,nan,PLNR,1,Acetylcholine
71,oxygen_sensor|putative_mechanosensory,PQR,1,Glutamate
72,mechanosensory,PVM,1,Glutamate
73,nan,PVR,1,Glutamate
74,nan,URADL,1,Acetylcholine
75,nan,URADR,1,Acetylcholine
76,nan,URAVL,1,Acetylcholine
77,nan,URAVR,1,Acetylcholine
78,nan,URBL,1,Acetylcholine
79,nan,URBR,1,Acetylcholine
80,oxygen_sensor,URXL,1,Glutamate
81,oxygen_sensor,URXR,1,Glutamate
82,nan,URYDL,1,Serotonin
83,nan,URYDR,1,Serotonin
84,nan,URYVL,1,Serotonin
85,nan,URYVR,1,Serotonin
