Neuron;Landmark;Landmark Position;Weight;Neurotransmitter;Neuropeptides;Function
ADEL;Sensory;0;1;Dopamine;;mechanosensory
ADER;Sensory;0;1;Dopamine;;mechanosensory
ADFL;Sensory;0;1;Serotonin;;chemosensory, gpg-food
ADFR;Sensory;0;1;Serotonin;;chemosensory, gpg-food
ADLL;Sensory;0;1;FMRFamide;;chemosensory, odorsensory, nociceptive
ADLR;Sensory;0;1;FMRFamide;;chemosensory, odorsensory, nociceptive
AFDL;Sensory;0;1;Glutamate;;thermosensory
AFDR;Sensory;0;1;Glutamate;;thermosensory
ALML;SensoryNB;0;1;Glutamate;;mechanosensory
ALMR;SensoryNB;0;1;Glutamate;;mechanosensory
ALNL;Sensory;1;1;Acetylcholine;;mechanosensory
ALNR;Sensory;1;1;Acetylcholine;;mechanosensory
AQR;Sensory;0;1;Glutamate;;oxygen_sensor
ASEL;Sensory;0;1;FMRFamide;;chemosensory
ASER;Sensory;0;1;FMRFamide;;chemosensory
ASGL;Sensory;0;1;Glutamate;;chemosensory, gpg-food
ASGR;Sensory;0;1;Glutamate;;chemosensory, gpg-food
ASHL;Sensory;0;1;Glutamate;Express neuropeptide-like proteins, NLP-3 and NLP-15 (Nathoo et al., 2001). Express the FMRFamide-related neuropeptide (FaRP), FLP-21;osmosensory, mechanosensory, odorsensory, nociceptive, gpg-nose
ASHR;Sensory;0;1;Glutamate;Express neuropeptide-like proteins, NLP-3 and NLP-15 (Nathoo et al., 2001). Express the FMRFamide-related neuropeptide (FaRP), FLP-22;osmosensory, mechanosensory, odorsensory, nociceptive, gpg-nose
ASIL;Sensory;0;1;Glutamate;;chemosensory, gpg-food
ASIR;Sensory;0;1;Glutamate;;chemosensory, gpg-food
ASJL;Sensory;0;1;Glutamate;;chemosensory, gpg-food
ASJR;Sensory;0;1;Glutamate;;chemosensory, gpg-food
ASKL;Sensory;0;1;Glutamate;;chemosensory
ASKR;Sensory;0;1;Glutamate;;chemosensory
AVG;SensoryNB;1;1;Glutamate;;Ventral-cord-interneuron, few-synapses
AVM;SensoryNB;0;1;Glutamate;;mechanosensory
AWAL;Sensory;0;1;Serotonin;;odorsensory
AWAR;Sensory;0;1;Serotonin;;odorsensory
AWBL;Sensory;0;1;Glutamate;;odorsensory
AWBR;Sensory;0;1;Glutamate;;odorsensory
AWCL;Sensory;0;1;Glutamate;;odorsensory
AWCR;Sensory;0;1;Glutamate;;odorsensory
BAGL;Sensory;0;1;Glutamate;;Neuron, ciliated-ending-in-head, no-supporting-cells, associated-with-ILso
BAGR;Sensory;0;1;Glutamate;;Neuron, ciliated-ending-in-head, no-supporting-cells, associated-with-ILso
CEPDL;Sensory;0;1;Dopamine;;putative_mechanosensory
CEPDR;Sensory;0;1;Dopamine;;putative_mechanosensory
CEPVL;Sensory;0;1;Dopamine;;putative_mechanosensory
CEPVR;Sensory;0;1;Dopamine;;putative_mechanosensory
FLPL;Sensory;0;1;Glutamate;;mechanosensory, gpg-nose
FLPR;Sensory;0;1;Glutamate;;mechanosensory, gpg-nose
IL1DL;Sensory;0;1;Glutamate;;mechanosensory, inter-labial-neuron
IL1DR;Sensory;0;1;Glutamate;;mechanosensory, inter-labial-neuron
IL1L;Sensory;0;1;Glutamate;;mechanosensory, inter-labial-neuron
IL1R;Sensory;0;1;Glutamate;;mechanosensory, inter-labial-neuron
IL1VL;Sensory;0;1;Glutamate;;mechanosensory, gpg-nose
IL1VR;Sensory;0;1;Glutamate;;mechanosensory, gpg-nose
IL2DL;Sensory;0;1;Serotonin;;chemosensory, inter-labial-neuron
IL2DR;Sensory;0;1;Serotonin;;chemosensory, inter-labial-neuron
IL2L;Sensory;0;1;Serotonin;;chemosensory, inter-labial-neuron
IL2R;Sensory;0;1;Serotonin;;chemosensory, inter-labial-neuron
IL2VL;Sensory;0;1;Serotonin;;chemosensory, inter-labial-neuron
IL2VR;Sensory;0;1;Serotonin;;chemosensory, inter-labial-neuron
OLLL;Sensory;0;1;Tyramine;;putative_mechanosensory
OLLR;Sensory;0;1;Tyramine;;putative_mechanosensory
OLQDL;Sensory;0;1;Glutamate;;mechanosensory, gpg-nose
OLQDR;Sensory;0;1;Glutamate;;mechanosensory, gpg-nose
OLQVL;Sensory;0;1;Glutamate;;mechanosensory, gpg-nose
OLQVR;Sensory;0;1;Glutamate;;mechanosensory, gpg-nose
PDEL;Sensory;1;1;Dopamine;;mechanosensory
PDER;Sensory;1;1;Dopamine;;mechanosensory
PHAL;Sensory;1;1;Glutamate;;chemosensory
PHAR;Sensory;1;1;Glutamate;;chemosensory
PHBL;Sensory;1;1;Serotonin;;chemosensory
PHBR;Sensory;1;1;Serotonin;;chemosensory
PHCL;Sensory;1;1;Dopamine;;mechanosensory
PHCR;Sensory;1;1;Dopamine;;mechanosensory
PLML;SensoryNB;1;1;Glutamate;;mechanosensory
PLMR;SensoryNB;1;1;Glutamate;;mechanosensory
PLNL;Sensory;1;1;Acetylcholine;;interneuron
PLNR;Sensory;1;1;Acetylcholine;;interneuron
PQR;Sensory;1;1;Glutamate;;oxygen_sensor, putative_mechanosensory
PVM;SensoryNB;0;1;Glutamate;;mechanosensory
PVR;Sensory;1;1;Glutamate;;interneuron
URADL;Sensory;0;1;Acetylcholine;;ring-motor-neuron
URADR;Sensory;0;1;Acetylcholine;;ring-motor-neuron
URAVL;Sensory;0;1;Acetylcholine;;ring-motor-neuron
URAVR;Sensory;0;1;Acetylcholine;;ring-motor-neuron
URBL;Sensory;0;1;Acetylcholine;;neuron, presynaptic-in-ring, ending-in-head
URBR;Sensory;0;1;Acetylcholine;;neuron, presynaptic-in-ring, ending-in-head
URXL;Sensory;0;1;Glutamate;;oxygen_sensor
URXR;Sensory;0;1;Glutamate;;oxygen_sensor
URYDL;Sensory;0;1;Serotonin;;neuron, presynaptic-in-ring, ending-in-head
URYDR;Sensory;0;1;Serotonin;;neuron, presynaptic-in-ring, ending-in-head
URYVL;Sensory;0;1;Serotonin;;neuron, presynaptic-in-ring, ending-in-head
URYVR;Sensory;0;1;Serotonin;;neuron, presynaptic-in-ring, ending-in-head
